	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142
v_lines_x	30.4874	69.4876	30.4860	50.2347	69.5191	30.4996	50.3335	50.4672	30.4913	50.4391	69.5203	50.4468	69.5341	30.4781	30.5184	50.2749	50.4190	50.1084	50.0631	69.5067	69.5193	50.2880	89.5016	89.4978	50.0871	69.4958	50.0837	49.9227	49.9341	50.3774	50.4383	30.5021	69.5048	69.5507	69.5101	50.4899	50.2077	30.5012	89.5011	49.9191	30.4981	50.4441	50.0937	50.2505	30.5091	69.1991	50.4815	49.9129	50.2537	50.2023	69.5126	30.5048	69.4944	69.5246	30.4497	50.3259	50.2311	30.4502	69.5263	69.5042	30.4944	69.5001	50.1799	50.4562	69.5044	50.4682	69.5799	89.4942	30.4550	30.4768	50.4165	69.5251	50.3374	69.5286	69.5619	50.3994	69.5051	69.5003	69.4995	30.5035	30.4648	50.2824	89.4888	30.4896	89.5002	89.5001	50.0163	50.3374	50.2797	50.4353	50.1040	89.4975	69.5511	50.2109	50.3741	30.4622	69.5275	69.4990	30.5016	89.4902	49.6889	50.1867	50.3269	30.4922	89.5049	50.2053	50.3523	30.5204	69.5065	50.4209	30.4995	69.5292	69.5010	50.4741	50.4976	69.5323	69.5058	50.2054	69.5038	30.5048	30.6202	50.3113	69.5035	50.1444	69.4998	49.9472	30.5010	30.4995	50.4103	69.5187	69.5035	50.3394	30.4746	50.1732	50.1156	69.4995	50.4483	50.2888	50.2530	69.5191	30.5117	50.3735
wide_lines_x	66.3378	33.6744	34.6983	33.9238	33.8499	35.4399	64.3204	67.3093	70.9626	66.8169	65.4455	38.4028	64.3882	68.5407	66.1291	64.9127	67.0040	35.5481	75.0171	34.9977	36.6308	67.0266	69.0817	73.0273	35.8383	34.6445	66.8177	36.7228	35.5139	30.5784	32.4387	30.7962	68.8910	34.9213	34.2334	32.6578	64.4986	68.6755	68.1933	66.0641	36.9042	65.4155	38.7980	67.5018	72.3715	76.6653	31.3195	64.0515	65.5700	77.0671	30.3434	30.9871	28.5641	32.6285	65.3140	33.8735	64.2952	64.3256	65.7141	39.1144	65.8155	34.5838	72.0363	65.2784	67.8062	37.8254	36.7107	37.1420	63.9470	31.5882	30.7193	40.6101	67.5445	62.7866	64.6018	35.6754	66.7242	34.5486	68.1914	39.0027	72.4798	66.3887	68.7680	69.7654	67.6295	66.3880	27.9395	66.5494	36.9463	65.3096	65.2643	75.3298	63.9101	28.8094	67.5935	68.7634	34.1052	64.9004	37.0233	35.4833	36.2861	27.4396	74.1673	34.7318	31.6416	64.9946	39.2195	38.7149	33.4234	68.8565	67.0733	34.8634	67.6614	67.3082	75.6273	34.6758	33.2349	64.2977	72.9982	74.0784	66.0045	65.6723	68.6213	63.4104	71.9936	37.8324	62.4257	66.7550	31.0901	65.7907	37.5196	77.9159	64.9359	37.7953	66.3138	66.6993	64.2037	74.8121	65.4373	69.0487	73.7420	68.3076
x_shape_x	42.3463	71.8670	80.1800	81.5645	34.1490	74.0707	37.1031	71.5692	39.7845	47.5522	36.0272	47.1428	66.5129	40.9160	52.1319	39.4630	37.5794	42.4309	84.6102	64.8520	40.2221	76.7911	36.6593	43.8569	41.6361	42.6126	75.9693	36.7925	65.5308	37.2382	80.5733	40.0482	38.6602	45.8142	79.2026	51.3460	84.1029	64.3979	36.6056	44.3607	78.1285	34.1409	42.0807	39.0542	70.1180	78.7898	81.9505	39.7973	41.7873	48.5306	51.1003	35.7519	68.6866	39.7628	42.8268	50.5632	44.5173	84.8482	65.0278	32.7672	34.7946	31.1069	39.9317	76.9533	57.1349	48.6649	72.4094	50.9424	42.1953	76.2713	82.6701	44.1250	71.4829	39.2393	52.1899	52.6310	73.2420	50.6492	41.0643	40.7499	34.4996	42.3678	41.2090	79.0043	61.9080	74.1142	37.2246	43.7446	39.7556	77.1636	37.5621	43.5499	33.7296	72.6546	70.4723	80.3125	68.9421	79.2218	38.3378	71.8267	42.0029	46.2806	36.0309	75.1077	65.4008	45.2257	80.7662	44.3248	53.3045	63.4038	85.4462	52.9452	75.9483	50.8433	77.7815	39.4312	40.6221	36.7147	54.6362	47.1301	41.2701	46.6431	65.3715	41.3234	76.8886	76.8407	54.1712	75.2839	43.0813	40.6437	39.8783	44.1891	35.1660	45.4229	36.4755	40.5124	77.0522	49.6593	39.1819	76.1056	81.6437	34.2381
away_y	8.1948	31.1474	79.3730	84.9724	24.4678	25.1001	50.5463	42.9449	84.6760	74.8516	70.6525	1.8081	80.9572	7.5935	36.7917	56.1396	29.1692	43.7558	59.3008	9.7633	40.6825	33.3172	17.7102	16.0511	71.8122	20.0111	46.6722	6.0058	75.6678	49.1739	30.8322	23.1105	84.6830	80.0656	48.3983	0.0151	80.8725	60.8144	73.3948	59.5444	6.0375	60.2643	22.0340	93.1333	76.1283	78.5842	60.0178	25.9869	14.2746	10.8681	42.4771	76.6353	45.2108	74.2877	62.5109	81.5542	43.4817	65.3348	69.1525	65.5214	0.5091	18.7090	39.5401	15.4569	75.9587	82.5336	1.2106	97.4758	71.7927	24.1096	57.2860	42.7596	70.4662	59.6799	71.0655	62.4603	66.4847	25.4166	72.6295	26.1869	71.8066	25.6937	19.8366	45.7346	37.3416	21.1016	72.4212	37.1109	71.6944	64.5667	19.9141	61.4111	69.8292	20.3142	12.9180	87.3222	62.5170	84.2753	88.6391	5.6231	2.3352	81.8814	35.4841	41.8743	68.1336	65.9525	21.4758	60.0275	75.9362	83.6396	10.4182	12.5366	77.1438	91.1119	49.5021	32.0151	40.7825	31.9164	70.5125	30.7258	66.0349	15.5828	72.9584	96.6175	29.3808	17.9455	6.6166	32.8230	38.5590	56.7313	52.5753	12.9912	85.3899	28.8626	79.4066	72.7449	13.9876	29.7204	70.0034	30.2013	42.1487	1.5044
bullseye_y	85.1747	13.2504	13.4313	82.4309	11.7324	29.6407	21.3648	10.3831	13.9943	30.6697	39.6020	30.3379	30.6807	11.9339	34.5276	80.0111	83.5182	51.1221	84.2404	84.5477	10.4947	38.0066	12.8535	73.9323	82.1712	40.7918	80.9712	60.9866	82.5675	33.8312	35.6578	64.6038	25.3225	82.6645	20.3043	84.6748	11.3189	48.7294	41.5672	10.0845	62.0631	84.0488	85.0451	64.0350	53.3127	15.2342	12.0379	13.3802	37.2961	29.7117	30.4760	32.0304	17.8832	66.0415	30.2537	82.3152	70.7784	46.6743	61.3426	47.6248	61.3637	11.4129	9.9067	15.1628	65.2373	13.0355	72.8478	32.2030	48.9702	83.9469	52.6234	11.9141	85.2371	84.0431	62.7213	52.2823	29.9944	29.0115	65.7128	85.2367	83.3398	41.0952	85.8762	34.3158	83.8487	64.0015	10.8284	45.5218	10.9451	57.7682	85.4998	79.9841	14.1287	12.3846	84.8198	65.7664	55.5470	12.2115	72.8402	71.6107	84.0179	71.5486	9.9206	11.2071	65.2404	80.3850	11.9500	82.9094	84.9662	62.8109	31.4774	84.3322	15.9851	34.6237	9.7656	64.7919	29.6798	66.3895	29.6723	85.3365	43.1159	45.2588	80.8126	29.3510	9.6915	11.9747	84.2606	47.1411	53.3717	63.8459	64.6242	11.8721	30.4471	30.4459	11.0008	30.2904	48.5779	47.7066	64.4768	65.4991	85.8297	44.4623
circle_y	75.8080	18.2878	45.5428	44.5601	16.6634	78.1200	24.7975	76.8806	79.3139	55.5687	16.5986	73.1206	45.0242	20.2794	83.3565	79.1939	63.8949	78.9787	82.4359	77.4869	26.3290	79.0809	62.9810	22.8570	35.7666	19.7018	33.2972	16.6763	51.2877	16.4539	20.5390	68.6901	78.1646	62.6347	79.3029	76.4096	79.2063	39.4871	78.6666	17.9245	22.5115	77.0178	17.0714	79.1941	79.2773	38.7614	17.1347	17.7241	79.0773	63.1418	62.3963	70.3166	20.0331	78.7294	60.2734	32.9187	21.1459	62.6819	16.3265	17.0518	69.2454	18.3972	70.7024	17.8836	17.1164	79.0131	24.7825	24.7415	24.1906	17.7345	17.2822	75.7901	20.0324	62.0268	16.3397	29.0505	70.7326	22.1954	18.5425	16.4182	16.7986	16.3662	17.0332	17.7005	22.8162	16.4080	50.7623	78.6759	16.3848	74.5575	78.7884	22.7868	79.1653	46.0526	60.8466	17.4894	33.1952	52.8864	78.9173	85.5781	79.1678	18.4894	16.6376	78.1747	16.4857	79.0381	79.1599	21.8761	58.6161	18.3337	75.6832	69.3121	17.0462	16.3532	24.5645	69.7977	76.1123	79.2937	18.4026	18.1408	79.2973	17.7244	17.2697	79.2529	60.6302	77.3992	16.8065	79.3250	77.8809	79.3069	57.2562	16.6427	78.9975	16.3873	79.2471	18.2169	78.7824	18.5162	53.7817	78.0414	79.2018	72.7248
dino_y	95.7692	14.8718	8.7180	86.0256	55.2564	79.8718	71.4103	26.7949	29.1026	25.3846	10.6410	10.2564	19.1026	14.1026	97.5641	30.2564	20.2564	46.7949	79.1026	77.5641	25.7692	53.7180	44.1026	71.4103	51.4103	33.7180	25.2564	33.7180	86.4103	25.2564	84.1026	60.6410	18.3333	37.5641	55.2564	78.7180	42.1795	91.4103	32.1795	57.1795	9.8718	2.9487	84.8718	19.1026	55.6410	38.3333	51.4103	11.0256	22.9487	51.4103	62.5641	85.2564	86.0256	94.1026	24.1026	80.6410	47.9487	51.0256	99.1026	6.0256	16.0256	22.9487	40.6410	57.9487	39.8718	51.0256	60.2564	10.2564	97.1795	88.3333	32.5641	79.8718	49.1026	14.8718	28.7180	83.3333	91.0256	69.1026	42.5641	36.7949	10.6410	55.2564	64.4872	75.2564	9.4872	44.4872	59.8718	40.6410	10.6410	77.5641	13.7180	95.0000	49.8718	51.0256	62.1795	36.0256	56.0256	45.6410	52.9487	85.2564	29.1026	17.5641	52.9487	31.4103	25.6410	99.4872	10.6410	31.4103	41.4103	18.3333	54.1026	10.6410	18.3333	78.7180	46.0256	92.6923	47.5641	46.0256	66.4103	12.5641	34.8718	94.4872	61.7949	10.6410	74.4872	66.7949	22.1795	66.4103	41.5385	25.2564	69.4872	36.4103	14.8718	5.2564	32.1795	62.1795	42.1795	96.0256	38.3333	46.0256	36.7949	82.9487
dots_y	82.9020	82.9291	88.3864	51.1656	52.3358	82.8212	16.5727	51.4162	51.3381	17.2042	51.8789	17.2405	83.9974	50.6216	17.0819	17.0483	17.4054	50.4414	83.1846	83.0350	16.6948	85.4600	82.8460	51.6530	51.3991	15.7719	82.9827	51.5937	17.1413	52.1047	16.9463	16.9810	51.4148	50.3187	17.1138	51.3041	17.0451	17.1149	51.5024	52.0768	51.9075	50.6620	89.1024	17.0196	90.8674	87.5140	16.9429	51.5248	83.4623	94.2493	82.9241	51.1979	17.1476	17.1349	50.7953	49.6625	17.0237	82.9624	17.0622	82.9353	17.0677	51.1820	16.7549	83.9035	17.0938	82.9321	50.6906	82.8841	82.9937	51.4186	17.0318	51.5944	17.0652	82.9418	17.2089	52.1578	52.2578	82.9857	51.7467	51.9753	92.9791	82.8742	51.9671	51.8620	16.9250	51.7121	16.1749	17.0847	82.9753	17.0765	17.0647	17.1699	83.7083	83.1145	50.6860	51.2945	51.8676	17.2211	17.0778	17.1802	17.0781	17.1058	82.9149	16.9930	83.0577	17.0043	17.1057	51.4389	83.9699	51.3916	52.0455	17.1113	17.2037	51.4874	83.0995	50.0747	52.1237	51.4618	83.7523	17.0411	17.0157	17.0883	17.0852	82.9378	17.0939	17.1623	52.1230	50.1670	51.0734	51.1518	82.9907	82.9195	17.1456	51.2018	82.9099	50.4756	17.0049	50.7089	17.0386	16.9075	52.1768	82.9453
h_lines_y	50.4619	30.6739	30.4997	30.4595	50.4706	30.5464	89.9970	10.5137	30.4959	90.2080	50.4698	10.4970	30.5004	10.5031	89.5077	10.5081	10.4973	90.0881	10.5075	89.7319	30.4867	10.5249	10.5186	50.5293	70.2204	70.3399	70.4739	10.4959	89.5837	50.4429	30.4926	10.4959	70.4695	50.4856	30.5220	10.4822	50.4522	70.2600	30.7929	70.3169	10.5069	50.4909	50.4159	30.4494	50.4899	30.5068	30.4727	50.5034	50.4920	30.5060	50.4790	50.5008	10.5141	50.4878	30.4979	10.7249	30.4956	30.4945	70.4558	89.5927	89.6580	70.0511	50.4825	89.9646	30.5100	10.5072	70.3526	70.3005	89.7086	89.7455	30.5023	69.9003	50.4942	30.4750	50.4946	89.6184	30.5017	89.9242	50.4938	50.4894	30.4079	89.5402	30.6039	90.0421	89.8341	50.4933	50.5037	90.4589	10.4888	30.4360	50.4727	10.5432	50.4206	50.4832	70.4234	30.4850	70.5003	30.4948	10.4959	50.4949	50.4962	90.1323	70.0680	70.3543	50.4744	50.4553	30.4850	50.4350	10.4949	10.4639	50.4313	70.4593	50.4875	70.2108	10.4956	50.5001	50.4986	30.4836	89.7121	10.4983	30.4730	10.5033	30.4926	10.5226	89.5512	70.4836	30.4980	10.8595	70.1574	70.4453	10.4875	70.3952	50.4927	89.7043	30.4787	90.4426	50.4994	89.6353	10.4858	10.6818	90.1441	70.4269
high_lines_y	68.0445	22.7098	26.4409	16.7892	28.0536	20.6942	69.9887	72.5862	71.7205	17.0335	22.4431	82.4258	17.3061	65.6010	16.7898	31.6199	76.1128	80.2472	82.5795	34.8940	19.4171	18.7411	83.5139	21.9691	21.6186	23.6805	84.2636	34.2357	81.9545	18.1974	67.6444	27.7978	19.5037	19.9251	77.7596	27.7765	87.1522	20.7402	84.9541	71.1617	17.6735	26.9935	72.5803	73.1190	24.5377	23.9343	17.7679	77.0692	83.4374	27.8683	27.3643	74.4045	26.1777	74.3494	28.4602	26.0229	72.5916	23.4948	70.4089	65.5124	70.0441	75.0980	20.3339	17.3696	80.2383	28.0708	81.7456	72.1147	63.5572	64.8708	83.9052	21.9955	18.2435	69.7493	83.2466	82.7426	26.7883	83.7894	67.5545	85.1289	25.2380	26.8026	28.9477	28.2803	26.5526	23.4893	34.3843	26.6664	80.2667	34.7693	25.1446	17.2229	68.1468	14.9140	19.3693	17.1558	82.2044	82.9261	27.1741	22.7314	82.8180	29.1453	83.3600	32.3772	29.2709	81.6583	35.5969	26.8038	79.3505	84.9995	16.8143	76.7541	71.8890	31.0394	28.6998	20.1891	76.1568	79.8862	34.9656	17.8550	17.1289	75.4216	24.0606	26.5217	22.0056	30.0153	79.4082	80.1848	82.0294	17.5145	16.7579	67.1688	82.5376	21.1710	71.1097	19.2573	32.6213	85.7057	20.0807	78.9508	71.9734	72.5519
slant_down_y	64.4135	90.2437	84.1259	32.8541	11.6129	58.6208	53.7081	84.1119	41.2707	89.2244	26.9005	33.2341	28.5737	62.2940	1.4881	33.3614	58.1330	56.9037	18.5349	49.1410	30.0732	59.2670	20.8436	33.5938	30.1970	84.0048	1.1339	93.0607	90.6347	15.0184	96.3051	18.5294	0.6015	55.6856	55.4206	7.4912	82.0850	23.0422	79.9306	32.1440	38.5848	85.0556	81.5656	35.0953	49.4995	57.6847	99.6135	75.4416	85.6023	41.3565	46.9909	45.9863	83.4716	47.2679	83.1584	14.1487	63.7887	19.1710	54.2028	19.5212	73.0332	51.6462	39.2653	12.3543	41.5832	29.3111	55.2546	35.8231	47.1885	78.2706	35.6710	27.3622	32.8840	93.5749	36.1897	54.2446	1.7415	97.3432	33.0272	35.4150	0.3039	40.0295	5.3724	42.7390	98.6039	62.4764	75.3640	82.6221	31.9392	44.2237	9.0399	14.7885	42.2501	67.9126	7.9133	19.2900	28.4432	50.5766	17.8384	48.7723	89.8641	72.4473	23.4914	71.5625	15.3218	65.9525	96.4254	39.7967	46.1491	46.6536	36.8903	27.6401	5.7500	47.8670	17.7664	51.0022	78.8711	53.8708	68.6510	42.4188	27.4875	27.6243	68.5108	72.8915	60.8572	47.2699	50.8383	70.1106	65.5433	14.0096	94.3594	3.9854	41.4667	32.1361	52.7232	68.2253	99.6442	91.4811	34.9610	10.5721	21.3157	21.5901
slant_up_y	19.5641	68.4184	35.0168	39.9179	50.3315	38.7469	73.8197	16.6123	88.7041	16.2123	54.0305	54.4737	63.0350	72.6577	29.8195	24.2419	33.8193	17.9874	40.1543	76.8157	83.7940	20.5783	96.0000	85.8104	32.5386	73.9004	13.9088	41.9746	47.3718	5.6458	36.8114	29.3857	54.7196	70.2822	40.1331	74.3442	32.9386	90.5606	80.1364	75.4456	5.8751	83.7834	61.1856	33.4866	14.5214	98.1843	34.4416	99.5796	80.1136	28.9281	27.5880	20.6183	28.0517	24.0738	53.8119	43.5976	99.2569	74.5270	39.5734	32.7134	61.4319	83.5414	79.7904	59.7920	49.6665	8.9173	46.2577	53.3957	78.1959	42.9019	94.0859	38.8316	66.8546	29.0795	19.9131	46.0088	18.0894	93.5171	44.5756	28.3221	17.7260	77.3626	10.5401	11.5191	9.3692	10.6326	85.3560	11.0276	20.2351	11.6938	49.8293	37.7804	60.5122	75.1648	48.8969	95.2412	52.8052	18.5080	59.7533	48.5566	81.1443	64.1000	94.1162	90.3036	26.2992	80.6359	22.8275	35.5242	54.2527	31.2477	10.1699	55.8309	52.2250	67.5166	96.6105	56.3020	60.2007	36.5361	6.5696	71.0471	13.4108	19.3860	50.0325	87.4487	55.3886	35.0331	52.5936	60.0311	35.1093	42.3116	15.6210	92.5026	7.0580	37.5714	15.9127	15.6133	13.3963	16.7877	43.0569	9.2224	47.8003	93.0758
star_y	16.2168	33.8224	92.1043	92.1297	32.4442	85.6375	17.8293	63.5902	49.0703	63.1289	14.3656	53.2348	53.3326	63.3715	90.3105	14.4519	63.4087	15.8901	26.1171	70.2137	15.7745	62.8210	56.5411	38.2990	14.6107	17.6485	20.2327	32.1180	15.8300	62.8819	19.9942	63.0685	16.3069	24.9164	63.5587	77.5363	29.0402	16.3837	91.8819	15.1515	41.2595	30.0204	63.6600	26.4714	31.5264	24.2360	87.8095	63.0241	56.0254	92.2150	26.4921	91.6944	15.2219	15.8585	56.5421	51.8225	26.4971	16.1821	90.6932	20.7985	14.4619	34.5532	89.9538	23.3724	62.7209	18.0474	92.0081	30.3445	17.7459	16.3470	63.2954	61.7775	51.1509	36.0191	63.2321	53.6517	60.1573	74.5843	60.8018	78.2291	15.2539	41.9647	52.9004	87.4998	63.5181	15.1223	15.5952	87.9401	65.8142	61.3579	15.1629	15.9126	63.3908	14.9557	15.6407	46.4497	29.7091	16.9130	22.3779	62.9019	27.6727	24.9915	63.5108	63.1233	63.3890	19.0773	63.3836	35.6622	51.5337	62.9252	67.4487	90.2653	89.9076	88.3273	44.0444	63.1652	18.3385	43.4538	79.8175	25.0630	14.9485	27.0931	77.7439	14.5802	92.1599	15.6094	58.8378	33.9042	59.7928	14.7806	21.3912	88.0853	75.9909	90.4110	86.9270	90.7489	90.0772	33.5564	27.2416	80.2519	90.5535	17.2780
v_lines_y	19.7795	81.8360	47.3479	20.4045	71.1160	26.0856	43.5887	90.2815	43.5614	37.6708	97.1939	57.2306	64.8930	28.0206	68.2526	49.6235	60.5249	18.2590	58.0850	68.0845	47.3845	12.8723	45.8152	46.6299	73.9519	58.7851	10.2359	38.4405	22.2561	16.5060	92.3548	36.4412	15.6144	9.0330	61.3296	39.2054	73.1145	38.3141	43.3473	3.7169	62.3850	75.0133	11.6077	71.9514	22.8255	60.4190	93.2227	55.5878	81.7438	47.2129	61.4976	28.7715	52.6124	2.7348	44.9951	94.9946	80.6474	79.8349	56.9953	23.6689	45.7735	11.7916	36.8076	89.9874	70.4934	13.3567	21.9352	62.2343	63.5018	39.4246	97.2697	93.5981	57.9553	91.6221	15.9998	38.9638	33.7402	27.1360	10.2078	38.3486	82.0892	97.6100	40.6251	77.7299	31.9789	53.2163	16.2537	40.9134	15.6087	56.4393	95.0885	33.9014	58.4011	80.9418	32.9182	32.7505	9.9923	92.1205	82.3071	48.8908	42.0185	99.6947	90.0221	55.8789	48.4234	57.9242	12.4686	65.1004	22.7287	43.3480	49.3821	57.8413	5.9558	12.4620	7.4096	21.8509	59.2849	90.6405	81.8154	26.4166	60.8601	26.8605	16.8783	47.0143	84.4797	48.2296	48.0697	53.6125	98.6284	15.1805	17.1691	18.7235	52.3222	29.1779	16.6940	16.3375	21.6403	13.4364	11.3021	11.4227	66.0937	82.2192
wide_lines_y	33.3065	26.0905	36.4754	53.5587	46.2845	47.7975	31.7856	0.2170	86.5181	12.2733	43.2735	19.0469	15.7728	48.4385	61.6437	87.6458	15.3458	89.3050	46.6224	28.6330	31.4768	76.2225	55.4741	46.2742	53.3515	54.4441	11.4125	9.3333	89.5992	65.5219	49.9030	23.5190	27.2962	35.4184	22.4959	80.1139	22.8635	50.4652	46.5435	89.2087	13.5838	10.4635	74.6106	60.8502	21.9616	38.4403	31.6640	48.8201	23.7658	51.4869	32.5246	63.9440	34.6264	54.0637	77.9387	37.0560	84.1259	41.6160	99.2838	96.4818	95.5884	89.5889	69.7160	44.8204	91.6882	9.6010	86.0750	49.7420	18.6928	77.0281	58.8121	89.1362	16.4479	13.9190	12.0019	49.6256	5.2498	26.1111	45.1695	92.2618	80.8007	38.8447	13.5215	19.9999	61.4291	89.2812	50.9851	67.7256	13.5144	98.1652	35.7175	32.8304	62.9723	59.6210	90.9519	8.7006	64.1292	16.2453	32.1185	44.4916	17.1058	65.7445	5.3499	19.6018	77.6108	49.4622	83.5435	76.3970	67.0957	43.0841	6.0492	30.9393	51.0686	71.5903	37.1288	79.6376	38.5025	20.4287	59.6656	72.9515	52.6847	91.9334	18.9157	38.3777	78.8209	14.4695	34.0442	18.0853	32.3838	55.9454	29.2676	45.9268	87.0721	93.5325	98.9310	18.5911	26.6441	57.5899	15.5454	66.3660	39.1210	13.2809
x_shape_y	24.5583	34.3292	19.0888	83.7929	13.5239	68.4796	15.4456	34.6992	82.2606	66.4604	82.0408	32.0251	59.0713	23.5416	39.3646	78.4600	15.0159	75.1336	14.2478	43.1337	20.6146	28.0720	17.6820	77.6098	76.2492	24.1951	29.0389	13.3921	42.2811	83.7249	8.3656	24.2615	21.6895	31.0570	92.4072	61.6006	8.9807	56.1749	15.7489	70.4742	23.1392	4.5777	24.9465	83.1190	36.4482	25.5972	19.8746	16.0835	83.9881	34.1525	38.0957	94.1168	62.2373	76.4060	25.5570	62.6238	70.3693	95.4248	57.0963	88.5183	13.9697	89.4616	79.9392	27.7706	53.8780	64.9610	33.0393	62.0974	20.9194	25.5695	81.7115	23.3662	34.6805	79.2637	39.3678	59.9639	67.3533	37.4838	12.2145	77.2047	86.6100	73.6383	24.1287	10.6282	53.1904	71.9264	17.9801	71.2680	79.6571	73.5237	11.9284	24.3072	88.6223	66.8783	36.0881	76.5162	62.6352	22.0946	92.4727	65.6862	97.8376	68.0284	93.1217	30.0170	42.6140	30.5552	79.8961	71.0459	40.8838	44.8475	83.0783	40.3846	22.7448	37.7446	23.4472	19.3238	78.5421	17.3818	57.4938	31.3099	21.7218	31.4072	42.6960	80.2119	72.1655	20.9185	58.0598	24.8748	75.3467	20.2409	18.3249	28.7726	84.1565	69.0955	17.7189	22.9622	27.9056	36.2734	79.8190	95.3050	16.5918	13.7132
